attackName,attackID,attackType,category,power,accuracy,maxPP,effect,probability
Synthesis,727,Grass,Status,,,5,User recovers HP. Amount varies with the weather.,
Tackle,728,Normal,Physical,40,100,35,,
TailGlow,729,Bug,Status,,,20,Drastically raises user's Special Attack.,
TailSlap,730,Normal,Physical,25,85,10,Hits 2-5 times in one turn.,
TailWhip,731,Normal,Status,,100,30,Lowers opponent's Defense.,
Tailwind,732,Flying,Status,,,15,Doubles Speed for 4 turns.,
TakeDown,733,Normal,Physical,90,85,20,User receives recoil damage.,
TakeHeart,734,Psychic,Status,,,10,Heals user's status conditions and raises its stats.,
TarShot,735,Rock,Status,,100,15,Lowers the opponent's Speed and makes them weaker to Fire-type moves.,100
Taunt,736,Dark,Status,,100,20,Opponent can only use moves that attack.,
TearfulLook,737,Normal,Status,,,20,The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.,100
Teatime,738,Normal,Status,,,10,Forces all Pokémon on the field to eat their berries.,
TechnoBlast,739,Normal,Special,120,100,5,Type depends on the Drive being held.,
TeeterDance,740,Normal,Status,,100,20,Confuses all Pokémon.,
Telekinesis,741,Psychic,Status,,,15,"Ignores opponent's Evasiveness for three turns, add Ground immunity.",
Teleport,742,Psychic,Status,,,20,Allows user to flee wild battles; also warps player to last PokéCenter.,
TeraBlast,743,Normal,Special,80,100,10,Changes type when the user has Terastallized.,
TerrainPulse,744,Normal,Special,50,100,10,Type and power change depending on the Terrain in effect.,
Thief,745,Dark,Physical,60,100,25,Also steals opponent's held item.,
ThousandArrows,746,Ground,Physical,90,100,10,Makes Flying-type Pokémon vulnerable to Ground moves.,
ThousandWaves,747,Ground,Physical,90,100,10,Opponent cannot flee or switch.,
Thrash,748,Normal,Physical,120,100,10,User attacks for 2-3 turns but then becomes confused.,
ThroatChop,749,Dark,Physical,80,100,15,Prevents use of sound moves for two turns.,100
Thunder,750,Electric,Special,110,70,10,May paralyze opponent.,30
ThunderCage,751,Electric,Special,80,90,15,"Deals damage and traps opponent, damaging them for 4-5 turns.",
ThunderFang,752,Electric,Physical,65,95,15,May cause flinching and/or paralyze opponent.,10
ThunderPunch,753,Electric,Physical,75,100,15,May paralyze opponent.,10
ThunderShock,754,Electric,Special,40,100,30,May paralyze opponent.,10
ThunderWave,755,Electric,Status,,90,20,Paralyzes opponent.,
Thunderbolt,756,Electric,Special,90,100,15,May paralyze opponent.,10
ThunderousKick,757,Fighting,Physical,90,100,10,Lowers opponent's Defense.,100
Tickle,758,Normal,Status,,100,20,Lowers opponent's Attack and Defense.,
TidyUp,759,Normal,Status,,,10,"Removes the effects of entry hazards and Substitute, and boosts user’s Attack and Speed.",
TopsyTurvy,760,Dark,Status,,,20,Reverses stat changes of opponent.,
TorchSong,761,Fire,Special,80,100,10,Raises user's Special Attack.,
Torment,762,Dark,Status,,100,15,Opponent cannot use the same move in a row.,
Toxic,763,Poison,Status,,90,10,Badly poisons opponent.,
ToxicSpikes,764,Poison,Status,,,20,Poisons opponents when they switch into battle.,
ToxicThread,765,Poison,Status,,100,20,Poisons opponent and lowers its Speed.,100
Trailblaze,766,Grass,Physical,50,100,20,Raises user's Speed.,
Transform,767,Normal,Status,,,10,User takes on the form and attacks of the opponent.,
TriAttack,768,Normal,Special,80,100,10,"May paralyze, burn or freeze opponent.",20
Trick,769,Psychic,Status,,100,10,Swaps held items with the opponent.,
TrickRoom,770,Psychic,Status,,,5,Slower Pokémon move first in the turn for 5 turns.,
TrickorTreat,771,Ghost,Status,,100,20,Adds Ghost type to opponent.,
TripleArrows,772,Fighting,Physical,90,100,10,Raises critical hit ratio and lowers target's Defense.,
TripleAxel,773,Ice,Physical,20,90,10,Attacks thrice with more power each time.,
TripleDive,774,Water,Physical,30,95,10,Hits 3 times in a row.,
TripleKick,775,Fighting,Physical,10,90,10,Hits thrice in one turn at increasing power.,
TropKick,776,Grass,Physical,70,100,15,Lowers opponent's Attack.,100
TrumpCard,777,Normal,Special,,,5,"The lower the PP, the higher the power.",
TwinBeam,778,Psychic,Special,40,100,10,Hits twice in one turn.,
Twineedle,779,Bug,Physical,25,100,20,Hits twice in one turn. May poison opponent.,20
Twister,780,Dragon,Special,40,100,20,May cause flinching. Hits Pokémon using Fly/Bounce with double power.,20
Uturn,781,Bug,Physical,70,100,20,User switches out immediately after attacking.,
Uproar,782,Normal,Special,90,100,10,User attacks for 3 turns and prevents sleep.,
Vcreate,783,Fire,Physical,180,95,5,"Lowers user's Defense, Special Defense and Speed.",100
VacuumWave,784,Fighting,Special,40,100,30,User attacks first.,
VeeveeVolley,785,Normal,Physical,,,20,Power increases when player's bond is stronger.,
VenomDrench,786,Poison,Status,,100,20,Lowers poisoned opponent's Special Attack and Speed.,100
Venoshock,787,Poison,Special,65,100,10,Inflicts double damage if the target is poisoned.,
VictoryDance,788,Fighting,Status,,,10,Raises Attack and Defense.,
VineWhip,789,Grass,Physical,45,100,25,,
ViseGrip,790,Normal,Physical,55,100,30,,
VitalThrow,791,Fighting,Physical,70,,10,"User attacks last, but ignores Accuracy and Evasiveness.",
VoltSwitch,792,Electric,Special,70,100,20,User must switch out after attacking.,
VoltTackle,793,Electric,Physical,120,100,15,User receives recoil damage. May paralyze opponent.,10
WakeUpSlap,794,Fighting,Physical,70,100,10,"Power doubles if opponent is asleep, but wakes it up.",
WaterGun,795,Water,Special,40,100,25,,
WaterPledge,796,Water,Special,80,100,10,Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.,
WaterPulse,797,Water,Special,60,100,20,May confuse opponent.,20
WaterShuriken,798,Water,Special,15,100,20,Hits 2-5 times in one turn.,
WaterSport,799,Water,Status,,,15,Weakens the power of Fire-type moves.,
WaterSpout,800,Water,Special,150,100,5,"The higher the user's HP, the higher the damage caused.",
Waterfall,801,Water,Physical,80,100,15,May cause flinching.,20
WaveCrash,802,Water,Physical,120,100,10,User receives recoil damage.,
WeatherBall,803,Normal,Special,50,100,10,Move's power and type changes with the weather.,
Whirlpool,804,Water,Special,35,85,15,"Traps opponent, damaging them for 4-5 turns.",100
Whirlwind,805,Normal,Status,,,20,"In battles, the opponent switches. In the wild, the Pokémon runs.",
WickedBlow,806,Dark,Physical,75,100,5,Always results in a critical hit and ignores stat changes.,
WickedTorque,807,Dark,Physical,80,100,10,,
WideGuard,808,Rock,Status,,,10,Protects the user's team from multi-target attacks.,
WildCharge,809,Electric,Physical,90,100,15,User receives recoil damage.,
WildboltStorm,810,Electric,Special,100,80,10,May paralyze target.,
WillOWisp,811,Fire,Status,,85,15,Burns opponent.,
WingAttack,812,Flying,Physical,60,100,35,,
Wish,813,Normal,Status,,,10,The user recovers HP in the following turn.,
Withdraw,814,Water,Status,,,40,Raises user's Defense.,
WonderRoom,815,Psychic,Status,,,10,Swaps every Pokémon's Defense and Special Defense for 5 turns.,
WoodHammer,816,Grass,Physical,120,100,15,User receives recoil damage.,
WorkUp,817,Normal,Status,,,30,Raises user's Attack and Special Attack.,
WorrySeed,818,Grass,Status,,100,10,Changes the opponent's Ability to Insomnia.,
Wrap,819,Normal,Physical,15,90,20,"Traps opponent, damaging them for 4-5 turns.",100
WringOut,820,Normal,Special,,100,5,"The higher the opponent's HP, the higher the damage.",
XScissor,821,Bug,Physical,80,100,15,,
Yawn,822,Normal,Status,,,10,Puts opponent to sleep in the next turn.,
ZapCannon,823,Electric,Special,120,50,5,Paralyzes opponent.,100
ZenHeadbutt,824,Psychic,Physical,80,90,15,May cause flinching.,20
ZingZap,825,Electric,Physical,80,100,10,May cause flinching.,30
ZippyZap,826,Electric,Physical,50,100,15,Always results in a critical hit.,100
